"","A̱o","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Set","Oct","Nov","Dic","Prom"
"1",2000,22,22.1,22.1,22.6,23.1,21.5,20.2,20.2,20.6,20.7,20.1,22.6,21.5
"2",2001,23.4,23.8,23.7,23.6,22.5,20.3,19.8,19.8,19.8,20.2,21.6,22.4,21.7
"3",2002,23.8,24,24.2,24.1,23.4,21.2,21.2,20.5,20.9,22.1,22.6,23.7,22.6
"4",2003,24.2,24.3,24.5,24,23.7,22,20.9,20.6,20.1,21.5,22.1,23.3,22.6
"5",2004,23.2,24.2,24.5,23.8,23,21.4,20.5,19.6,21.2,21.6,21.6,22.5,22.3
"6",2005,24.1,24.3,24.1,24.9,22.7,21.3,20.4,20.1,20.2,20.5,21.1,22,22.1
"7",2006,23.7,23.9,24,23.6,22.7,21.3,20.7,20.7,21.4,21.7,22.6,23.3,22.5
"8",2007,24,24.7,24.2,24.3,23.5,22.1,20.8,20.2,20.1,20.1,21.2,21.9,22.3
"9",2008,22.8,23,23.7,23.5,22.8,22.1,22,22,21.7,21.6,21.7,22.2,22.4
"10",2009,23.3,23.4,23.8,23.3,23.3,22.4,21.9,21.3,21.1,21.4,22.3,23.8,22.6
"11",2010,24.5,24.8,24.7,NA,23.8,22.3,21.5,20.8,21.1,21,20.9,22.5,NA
"12",2011,23.8,23.8,23.8,23.9,23.5,22.9,22.1,20.9,20.7,20.8,21.7,23.1,22.6
"13",2012,23.6,23.2,24,23.6,22.6,22.4,21.5,21.4,21.2,21.1,22.1,22.7,22.4
"14",2013,23.4,23.8,24.3,23.7,22.4,21.4,19.9,20.3,20.7,21.4,21.7,22.9,22.2
"15",2014,23.3,23.6,23.8,24.1,23.8,23,22.3,21,21.5,21.8,22.1,22.1,22.7
